StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q29,Q30,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6,Q7,Q7_7_TEXT,Q8,Q9,Q9_5_TEXT,Q10,Q10_6_TEXT,Q11,Q12,Q12_5_TEXT,Q13,Q14,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q22_14,Q22_15,Q22_16,Q22_17,Q22_18,Q22_19,Q22_20,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q26_11,Q26_12,PROLIFIC_PID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,"What is your Prolific ID?
Please note that this response should auto-fill with the correct response.",Please enter the word as directed in the instructions above.,Age,Gender:,Country of employment,Current teaching roles - Selected Choice,Current teaching roles - Other: - Text,Main subject(s) taught,Educational level(s) taught - Selected Choice,Educational level(s) taught - Other - Text,Years of teaching experience,Employment status - Selected Choice,Employment status - Other - Text,Nature of teaching activities - Selected Choice,Nature of teaching activities - Other: - Text,How often do you currently teach?,Highest level of education completed - Selected Choice,Highest level of education completed - Other - Text,Field of study / academic background,Have you received formal teacher training?,"Please indicate for each of the five statements which is closest to how you have been
feeling over the last two weeks. Notice that higher numbers mean better well-being.
Example. If you have felt cheerful and in good spirits more than half of the time during
the last two weeks, select number three. - 1. I have felt cheerful and in good spirits","Please indicate for each of the five statements which is closest to how you have been
feeling over the last two weeks. Notice that higher numbers mean better well-being.
Example. If you have felt cheerful and in good spirits more than half of the time during
the last two weeks, select number three. - 2. I have felt calm and relaxed","Please indicate for each of the five statements which is closest to how you have been
feeling over the last two weeks. Notice that higher numbers mean better well-being.
Example. If you have felt cheerful and in good spirits more than half of the time during
the last two weeks, select number three. - 3. I have felt active and vigorous","Please indicate for each of the five statements which is closest to how you have been
feeling over the last two weeks. Notice that higher numbers mean better well-being.
Example. If you have felt cheerful and in good spirits more than half of the time during
the last two weeks, select number three. - 4. I woke up feeling fresh and rested","Please indicate for each of the five statements which is closest to how you have been
feeling over the last two weeks. Notice that higher numbers mean better well-being.
Example. If you have felt cheerful and in good spirits more than half of the time during
the last two weeks, select number three. - 5. My daily life has been filled with things that interested me",While thinking of your teaching experience.. - 1. I feel a strong sense of collaboration with my colleagues.,While thinking of your teaching experience.. - 2. I feel I can rely on my colleagues when challenges arise.,While thinking of your teaching experience.. - 3. I feel I can engage in constructive discussions with my colleagues.,While thinking of your teaching experience.. - 4. I feel supported by my colleagues in managing our shared work responsibilities.,While thinking of your teaching experience.. - 5. I feel able to create a climate of mutual trust with my students.,While thinking of your teaching experience.. - 6. I perceive that my students are engaged in the activities I propose.,While thinking of your teaching experience.. - 7. I feel I have a strong working relationship with my students.,While thinking of your teaching experience.. - 8. I feel confident in my ability to establish positive connections with my students.,While thinking of your teaching experience.. - 9. I feel appreciated as a teacher in my school.,While thinking of your teaching experience.. - 10. I feel respected as a professional within my school.,While thinking of your teaching experience.. - 11. I feel that my opinions are taken into account in school decisions.,While thinking of your teaching experience.. - 12. I feel like an integral part of the school community.,How often do you feel the following? - 1. I feel in tune with the people around me.,How often do you feel the following? - 2. I lack companionship.,How often do you feel the following? - 3. I feel that there is no one I can turn to.,How often do you feel the following? - 4. I do not feel alone.,How often do you feel the following? - 5. I feel part of a group of friends.,How often do you feel the following? - 6. I feel that I have a lot in common with the people around me.,How often do you feel the following? - 7. I am no longer close to anyone.,How often do you feel the following? - 8. My interests and ideas are not shared by those around me.,How often do you feel the following? - 9. I am an outgoing person.,How often do you feel the following? - 10. There are people I feel close to.,How often do you feel the following? - 11. I feel left out.,How often do you feel the following? - 12. My social relationships are superficial.,How often do you feel the following? - 13. No one really knows me well.,How often do you feel the following? - 14. I feel isolated from others.,How often do you feel the following? - 15. I can find companionship when I want it.,How often do you feel the following? - 16. There are people who really understand me.,How often do you feel the following? - 17. I am unhappy being so withdrawn.,How often do you feel the following? - 18. People are around me but not with me.,How often do you feel the following? - 19. There are people I can talk to.,How often do you feel the following? - 20. There are people I can turn to.,Please respond to each question. - 1. How much can you do to control disruptive behavior in the classroom?,Please respond to each question. - 2. How much can you do to motivate students who show low interest in schoolwork?,Please respond to each question. - 3. How much can you do to calm a student who is disruptive or noisy?,Please respond to each question. - 4. How much can you do to help your students value learning?,Please respond to each question. - 5. To what extent can you craft good questions for your students?,Please respond to each question. - 6. How much can you do to get children to follow classroom rules?,Please respond to each question. - 7. How much can you do to get students to believe they can do well in schoolwork?,Please respond to each question. - 8. How well can you establish a classroom management system with each group of students?,Please respond to each question. - 9. To what extent can you use a variety of assessment strategies?,Please respond to each question. - 10. To what extent can you provide an alternative explanation or example when students are confused?,Please respond to each question. - 11. How much can you assist families in helping their children do well in school?,Please respond to each question. - 12. How well can you implement alternative teaching strategies in your classroom?,"Please, rate the level of agreement with each statement - 1. There is a special person who is around when I am in need.","Please, rate the level of agreement with each statement - 2. There is a special person with whom I can share my joys and sorrows.","Please, rate the level of agreement with each statement - 3. My family really tries to help me.","Please, rate the level of agreement with each statement - 4. I get the emotional help and support I need from my family.","Please, rate the level of agreement with each statement - 5. I have a special person who is a real source of comfort to me.","Please, rate the level of agreement with each statement - 6. My friends really try to help me.","Please, rate the level of agreement with each statement - 7. I can count on my friends when things go wrong.","Please, rate the level of agreement with each statement - 8. I can talk about my problems with my family.","Please, rate the level of agreement with each statement - 9. I have friends with whom I can share my joys and sorrows.","Please, rate the level of agreement with each statement - 10. There is a special person in my life who cares about my feelings.","Please, rate the level of agreement with each statement - 11. My family is willing to help me make decisions.","Please, rate the level of agreement with each statement - 12. I can talk about my problems with my friends.",PROLIFIC_PID,Create New Field or Choose From Dropdown...
28/03/2026 03:14,28/03/2026 03:16,0,100,164,1,28/03/2026 03:16,R_8wGrFzBZLazCKfw,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
28/03/2026 03:44,28/03/2026 03:58,0,100,847,1,28/03/2026 03:58,R_2nIwVENoL415joB,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2026 07:30,28/03/2026 07:34,0,100,250,1,28/03/2026 07:34,R_8J0zjbR6QYTNOP7,,,,,anonymous,EN,,,44,1,Italy,1,,English,"3,4",,20,1,,1,,2,1,,Language Sciences,2,4,4,3,5,3,1,1,2,2,4,4,4,4,1,1,1,1,3,2,2,3,3,2,2,2,3,3,2,2,2,2,2,3,3,2,3,3,4,5,5,5,6,6,6,5,8,8,2,7,7,7,6,6,7,4,4,6,5,7,5,4,,
29/03/2026 08:42,29/03/2026 08:46,0,100,238,1,29/03/2026 08:46,R_2KUdq7lWDw7TGKt,,,,,anonymous,EN,,,35,1,UK,2,,Music,2,,10,4,,"2,3,4,5",,5,2,,Music ,1,4,5,4,5,3,3,3,3,3,4,4,4,4,3,3,2,2,3,2,2,4,4,3,2,2,3,3,2,2,2,1,3,3,1,1,3,3,3,3,3,4,4,5,4,4,3,6,7,7,3,3,5,5,3,5,5,4,5,3,4,5,,
02/04/2026 04:20,02/04/2026 04:24,0,100,252,1,02/04/2026 04:24,R_8EyMrM0fjdQLM9X,,,,,anonymous,EN,,,58,1,UK,1,,Sciences,2,,35,1,,1,,1,2,,Chemistry,2,4,4,4,5,4,4,4,4,4,4,5,5,5,4,4,3,5,3,2,2,4,3,3,1,1,3,3,1,2,2,2,3,4,1,2,4,4,5,5,4,6,6,7,5,5,6,6,2,8,6,6,5,5,6,5,5,5,5,6,5,4,,
02/04/2026 04:26,02/04/2026 04:29,0,100,225,1,02/04/2026 04:29,R_2hA6F6YZku7t7nw,,,,,anonymous,EN,,,49,2,UK,1,,Sciences,"2,3",,16,1,,"1,3",,1,2,,Chemistry,2,2,2,3,3,2,3,3,4,2,4,4,4,4,4,2,1,4,3,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,1,1,3,3,7,7,6,7,8,7,8,8,8,8,3,7,6,6,3,3,6,4,4,3,4,6,3,4,,
02/04/2026 04:29,02/04/2026 04:33,0,100,194,1,02/04/2026 04:48,R_2432Ae5xjKgvz6a,,,,,anonymous,EN,,,41,2,Italy,4,,Philosophy,"4,6",,6,3,,"1,4,5",,2,3,,Philosophy,3,5,5,5,6,3,2,2,2,2,3,3,3,4,2,2,1,1,2,3,2,2,2,2,2,2,3,2,2,2,2,,2,2,2,2,3,3,2,3,1,2,5,3,4,4,5,6,1,2,4,4,4,4,4,4,4,4,4,4,4,4,,
28/03/2026 03:58,28/03/2026 04:15,0,92,1022,0,04/04/2026 04:15,R_2OVp0RUEShZAmTX,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2026 03:04,29/03/2026 04:14,0,92,90607,0,05/04/2026 04:14,R_2SijOoeifMGAJDH,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
